"ensembl_gene_id"	"description"	"uniprot_gn_symbol"
"1919"	"ENSMUSG00000031575"	"ASH2 like histone lysine methyltransferase complex subunit [Source:MGI Symbol;Acc:MGI:1344416]"	"Ash2l"
"1920"	"ENSMUSG00000031585"	"general transcription factor II E, polypeptide 2 (beta subunit) [Source:MGI Symbol;Acc:MGI:1915403]"	"Gtf2e2"
"1921"	"ENSMUSG00000031586"	"RNA binding protein gene with multiple splicing [Source:MGI Symbol;Acc:MGI:1334446]"	"Rbpms"
"1922"	"ENSMUSG00000031604"	"methylsterol monoxygenase 1 [Source:MGI Symbol;Acc:MGI:1913484]"	"Msmo1"
"1923"	"ENSMUSG00000031605"	"kelch-like 2, Mayven [Source:MGI Symbol;Acc:MGI:1924363]"	"Klhl2"
"1924"	"ENSMUSG00000031627"	"interferon regulatory factor 2 [Source:MGI Symbol;Acc:MGI:96591]"	"Irf2"
"1925"	"ENSMUSG00000031633"	"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4 [Source:MGI Symbol;Acc:MGI:1353495]"	"Slc25a4"
"1926"	"ENSMUSG00000031634"	"UFM1-specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1913679]"	"Ufsp2"
"1927"	"ENSMUSG00000031651"	"tripartite motif family-like 1 [Source:MGI Symbol;Acc:MGI:2687279]"	"Triml1"
"1928"	"ENSMUSG00000031657"	"HEAT repeat containing 3 [Source:MGI Symbol;Acc:MGI:2444491]"	"Heatr3"
"1929"	"ENSMUSG00000031660"	"bromodomain containing 7 [Source:MGI Symbol;Acc:MGI:1349766]"	"Brd7"
"1930"	"ENSMUSG00000031666"	"RB transcriptional corepressor like 2 [Source:MGI Symbol;Acc:MGI:105085]"	"Rbl2"
"1931"	"ENSMUSG00000031667"	"AKT interacting protein [Source:MGI Symbol;Acc:MGI:3693832]"	"Aktip"
"1932"	"ENSMUSG00000031672"	"glutamatic-oxaloacetic transaminase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:95792]"	"Got2"
"1933"	"ENSMUSG00000031681"	"SMAD family member 1 [Source:MGI Symbol;Acc:MGI:109452]"	"Smad1"
"1934"	"ENSMUSG00000031697"	"origin recognition complex, subunit 6 [Source:MGI Symbol;Acc:MGI:1929285]"	"Orc6"
"1935"	"ENSMUSG00000031708"	"trans-2,3-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:1915408]"	"Tecr"
"1936"	"ENSMUSG00000031728"	"zinc finger protein 821 [Source:MGI Symbol;Acc:MGI:1923121]"	"Zfp821"
"1937"	"ENSMUSG00000031728"	"zinc finger protein 821 [Source:MGI Symbol;Acc:MGI:1923121]"	"Znf821"
"1938"	"ENSMUSG00000031729"	"increased sodium tolerance 1 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1919205]"	"Ist1"
"1939"	"ENSMUSG00000031750"	"interleukin 34 [Source:MGI Symbol;Acc:MGI:1923777]"	"Il34"
"1940"	"ENSMUSG00000031756"	"centromere protein N [Source:MGI Symbol;Acc:MGI:1919405]"	"Cenpn"
"1941"	"ENSMUSG00000031762"	"metallothionein 2 [Source:MGI Symbol;Acc:MGI:97172]"	"Mt2"
"1942"	"ENSMUSG00000031765"	"metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171]"	"Mt1"
"1943"	"ENSMUSG00000031770"	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:MGI Symbol;Acc:MGI:1927406]"	"Herpud1"
"1944"	"ENSMUSG00000031778"	"chemokine (C-X3-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:1097153]"	"Cx3cl1"
"1945"	"ENSMUSG00000031781"	"cytokine induced apoptosis inhibitor 1 [Source:MGI Symbol;Acc:MGI:1922083]"	"Ciapin1"
"1946"	"ENSMUSG00000031790"	"matrix metallopeptidase 15 [Source:MGI Symbol;Acc:MGI:109320]"	"Mmp15"
"1947"	"ENSMUSG00000031791"	"transmembrane protein 38A [Source:MGI Symbol;Acc:MGI:1921416]"	"Tmem38a"
"1948"	"ENSMUSG00000031792"	"U6 snRNA biogenesis 1 [Source:MGI Symbol;Acc:MGI:2142454]"	"Usb1"
"1949"	"ENSMUSG00000031803"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:MGI Symbol;Acc:MGI:2152535]"	"B3gnt3"
"1950"	"ENSMUSG00000031812"	"microtubule-associated protein 1 light chain 3 beta [Source:MGI Symbol;Acc:MGI:1914693]"	"Map1lc3b"
"1951"	"ENSMUSG00000031819"	"ER membrane protein complex subunit 8 [Source:MGI Symbol;Acc:MGI:1343095]"	"Emc8"
"1952"	"ENSMUSG00000031824"	"RIKEN cDNA 6430548M08 gene [Source:MGI Symbol;Acc:MGI:2443793]"	"6430548M08Rik"
"1953"	"ENSMUSG00000031824"	"RIKEN cDNA 6430548M08 gene [Source:MGI Symbol;Acc:MGI:2443793]"	"Kiaa0513"
"1954"	"ENSMUSG00000031825"	"cysteine-rich secretory protein LCCL domain containing 2 [Source:MGI Symbol;Acc:MGI:1926142]"	"Crispld2"
"1955"	"ENSMUSG00000031826"	"ubiquitin specific peptidase 10 [Source:MGI Symbol;Acc:MGI:894652]"	"Usp10"
"1956"	"ENSMUSG00000031849"	"cartilage oligomeric matrix protein [Source:MGI Symbol;Acc:MGI:88469]"	"Comp"
"1957"	"ENSMUSG00000031858"	"MAU2 sister chromatid cohesion factor [Source:MGI Symbol;Acc:MGI:1921799]"	"Mau2"
"1958"	"ENSMUSG00000031877"	"carboxylesterase 2G [Source:MGI Symbol;Acc:MGI:1919611]"	"Ces2g"
"1959"	"ENSMUSG00000031879"	"cytosolic iron-sulfur assembly component 2B [Source:MGI Symbol;Acc:MGI:1915773]"	"Ciao2b"
"1960"	"ENSMUSG00000031889"	"phagosome assembly factor 1 [Source:MGI Symbol;Acc:MGI:2443049]"	"Phaf1"
"1961"	"ENSMUSG00000031891"	"hydroxysteroid 11-beta dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:104720]"	"Hsd11b2"
"1962"	"ENSMUSG00000031897"	"proteasome (prosome, macropain) subunit, beta type 10 [Source:MGI Symbol;Acc:MGI:1096380]"	"Psmb10"
"1963"	"ENSMUSG00000031904"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6 [Source:MGI Symbol;Acc:MGI:2142598]"	"Slc7a6"
"1964"	"ENSMUSG00000031924"	"cytochrome b5 type B [Source:MGI Symbol;Acc:MGI:1913677]"	"Cyb5b"
"1965"	"ENSMUSG00000031928"	"MRE11A homolog A, double strand break repair nuclease [Source:MGI Symbol;Acc:MGI:1100512]"	"Mre11a"
"1966"	"ENSMUSG00000031928"	"MRE11A homolog A, double strand break repair nuclease [Source:MGI Symbol;Acc:MGI:1100512]"	"Mre11"
"1967"	"ENSMUSG00000031937"	"V-set and transmembrane domain containing 5 [Source:MGI Symbol;Acc:MGI:1916387]"	"Vstm5"
"1968"	"ENSMUSG00000031948"	"lysyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1934754]"	"Kars"
"1969"	"ENSMUSG00000031948"	"lysyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1934754]"	"Kars1"
"1970"	"ENSMUSG00000031950"	"gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2 [Source:MGI Symbol;Acc:MGI:1890602]"	"Gabarapl2"
"1971"	"ENSMUSG00000031954"	"craniofacial development protein 1 [Source:MGI Symbol;Acc:MGI:1344403]"	"Cfdp1"
"1972"	"ENSMUSG00000031958"	"lactate dehydrogenase D [Source:MGI Symbol;Acc:MGI:106428]"	"Ldhd"
"1973"	"ENSMUSG00000031984"	"RIKEN cDNA 2810004N23 gene [Source:MGI Symbol;Acc:MGI:1913773]"	""
"1974"	"ENSMUSG00000031990"	"junction adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:1933825]"	"Jam3"
"1975"	"ENSMUSG00000031995"	"suppression of tumorigenicity 14 (colon carcinoma) [Source:MGI Symbol;Acc:MGI:1338881]"	"St14"
"1976"	"ENSMUSG00000032000"	"baculoviral IAP repeat-containing 3 [Source:MGI Symbol;Acc:MGI:1197007]"	"Birc3"
"1977"	"ENSMUSG00000032010"	"ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]"	"Usp2"
"1978"	"ENSMUSG00000032030"	"cullin 5 [Source:MGI Symbol;Acc:MGI:1922967]"	"Cul5"
"1979"	"ENSMUSG00000032038"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:MGI Symbol;Acc:MGI:1316743]"	"St3gal4"
"1980"	"ENSMUSG00000032041"	"toll-interleukin 1 receptor (TIR) domain-containing adaptor protein [Source:MGI Symbol;Acc:MGI:2152213]"	"Tirap"
"1981"	"ENSMUSG00000032047"	"acetyl-Coenzyme A acetyltransferase 1 [Source:MGI Symbol;Acc:MGI:87870]"	"Acat1"
"1982"	"ENSMUSG00000032050"	"radixin [Source:MGI Symbol;Acc:MGI:97887]"	"Rdx"
"1983"	"ENSMUSG00000032051"	"ferredoxin 1 [Source:MGI Symbol;Acc:MGI:103224]"	"Fdx1"
"1984"	"ENSMUSG00000032058"	"protein phosphatase 2, regulatory subunit A, beta [Source:MGI Symbol;Acc:MGI:1920949]"	"Ppp2r1b"
"1985"	"ENSMUSG00000032060"	"crystallin, alpha B [Source:MGI Symbol;Acc:MGI:88516]"	"Cryab"
"1986"	"ENSMUSG00000032064"	"DIX domain containing 1 [Source:MGI Symbol;Acc:MGI:2679721]"	"Dixdc1"
"1987"	"ENSMUSG00000032068"	"placenta expressed transcript 1 [Source:MGI Symbol;Acc:MGI:1923759]"	"Plet1"
"1988"	"ENSMUSG00000032076"	"cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:1889272]"	"Cadm1"
"1989"	"ENSMUSG00000032078"	"ZPR1 zinc finger [Source:MGI Symbol;Acc:MGI:1330262]"	"Zpr1"
"1990"	"ENSMUSG00000032080"	"apolipoprotein A-IV [Source:MGI Symbol;Acc:MGI:88051]"	"Apoa4"
"1991"	"ENSMUSG00000032083"	"apolipoprotein A-I [Source:MGI Symbol;Acc:MGI:88049]"	"Apoa1"
"1992"	"ENSMUSG00000032096"	"archain 1 [Source:MGI Symbol;Acc:MGI:2387591]"	"Arcn1"
"1993"	"ENSMUSG00000032105"	"PDZ domain containing 3 [Source:MGI Symbol;Acc:MGI:2429554]"	"Pdzd3"
"1994"	"ENSMUSG00000032113"	"checkpoint kinase 1 [Source:MGI Symbol;Acc:MGI:1202065]"	"Chek1"
"1995"	"ENSMUSG00000032115"	"hypoxia up-regulated 1 [Source:MGI Symbol;Acc:MGI:108030]"	"Hyou1"
"1996"	"ENSMUSG00000032116"	"STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:105124]"	"Stt3a"
"1997"	"ENSMUSG00000032123"	"dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:MGI Symbol;Acc:MGI:1196396]"	"Dpagt1"
"1998"	"ENSMUSG00000032125"	"roundabout guidance receptor 4 [Source:MGI Symbol;Acc:MGI:1921394]"	"Robo4"
"1999"	"ENSMUSG00000032126"	"hydroxymethylbilane synthase [Source:MGI Symbol;Acc:MGI:96112]"	"Hmbs"
"2000"	"ENSMUSG00000032178"	"interleukin enhancer binding factor 3 [Source:MGI Symbol;Acc:MGI:1339973]"	"Ilf3"
"2001"	"ENSMUSG00000032193"	"low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:96765]"	"Ldlr"
"2002"	"ENSMUSG00000032198"	"dedicator of cytokinesis 6 [Source:MGI Symbol;Acc:MGI:1914789]"	"Dock6"
"2003"	"ENSMUSG00000032199"	"polymerase (RNA) II (DNA directed) polypeptide M [Source:MGI Symbol;Acc:MGI:107282]"	"Polr2m"
"2004"	"ENSMUSG00000032207"	"lipase, hepatic [Source:MGI Symbol;Acc:MGI:96216]"	"Lipc"
"2005"	"ENSMUSG00000032218"	"cyclin B2 [Source:MGI Symbol;Acc:MGI:88311]"	"Ccnb2"
"2006"	"ENSMUSG00000032228"	"transcription factor 12 [Source:MGI Symbol;Acc:MGI:101877]"	"Tcf12"
"2007"	"ENSMUSG00000032254"	"kinesin family member 23 [Source:MGI Symbol;Acc:MGI:1919069]"	"Kif23"
"2008"	"ENSMUSG00000032261"	"SH3 domain binding glutamic acid-rich protein like 2 [Source:MGI Symbol;Acc:MGI:1915350]"	"Sh3bgrl2"
"2009"	"ENSMUSG00000032288"	"IMP3, U3 small nucleolar ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1916119]"	"Imp3"
"2010"	"ENSMUSG00000032289"	"thrombospondin, type I, domain containing 4 [Source:MGI Symbol;Acc:MGI:2672033]"	"Thsd4"
"2011"	"ENSMUSG00000032290"	"protein tyrosine phosphatase, non-receptor type 9 [Source:MGI Symbol;Acc:MGI:1928376]"	"Ptpn9"
"2012"	"ENSMUSG00000032306"	"mannose phosphate isomerase [Source:MGI Symbol;Acc:MGI:97075]"	"Mpi"
"2013"	"ENSMUSG00000032309"	"F-box protein 22 [Source:MGI Symbol;Acc:MGI:1926014]"	"Fbxo22"
"2014"	"ENSMUSG00000032314"	"electron transferring flavoprotein, alpha polypeptide [Source:MGI Symbol;Acc:MGI:106092]"	"Etfa"
"2015"	"ENSMUSG00000032320"	"reticulocalbin 2 [Source:MGI Symbol;Acc:MGI:1349765]"	"Rcn2"
"2016"	"ENSMUSG00000032323"	"cytochrome P450, family 11, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88582]"	"Cyp11a1"
"2017"	"ENSMUSG00000032330"	"cytochrome c oxidase subunit 7A2 [Source:MGI Symbol;Acc:MGI:1316715]"	"Cox7a2"
"2018"	"ENSMUSG00000032333"	"stomatin-like 1 [Source:MGI Symbol;Acc:MGI:1916356]"	"Stoml1"
"2019"	"ENSMUSG00000032348"	"glutathione S-transferase, alpha 4 [Source:MGI Symbol;Acc:MGI:1309515]"	"Gsta4"
"2020"	"ENSMUSG00000032350"	"glutamate-cysteine ligase, catalytic subunit [Source:MGI Symbol;Acc:MGI:104990]"	"Gclc"
"2021"	"ENSMUSG00000032359"	"cathepsin H [Source:MGI Symbol;Acc:MGI:107285]"	"Ctsh"
"2022"	"ENSMUSG00000032380"	"death-associated protein kinase 2 [Source:MGI Symbol;Acc:MGI:1341297]"	"Dapk2"
"2023"	"ENSMUSG00000032382"	"sorting nexin 1 [Source:MGI Symbol;Acc:MGI:1928395]"	"Snx1"
"2024"	"ENSMUSG00000032396"	"DIS3 like exosome 3'-5' exoribonuclease [Source:MGI Symbol;Acc:MGI:2143272]"	"Dis3l"
"2025"	"ENSMUSG00000032397"	"timeless interacting protein [Source:MGI Symbol;Acc:MGI:1921571]"	"Tipin"
"2026"	"ENSMUSG00000032398"	"small nuclear RNA activating complex, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1914282]"	"Snapc5"
"2027"	"ENSMUSG00000032400"	"zwilch kinetochore protein [Source:MGI Symbol;Acc:MGI:1915264]"	"Zwilch"
"2028"	"ENSMUSG00000032402"	"SMAD family member 3 [Source:MGI Symbol;Acc:MGI:1201674]"	"Smad3"
"2029"	"ENSMUSG00000032407"	"U2 snRNP-associated SURP domain containing [Source:MGI Symbol;Acc:MGI:1915208]"	"U2surp"
"2030"	"ENSMUSG00000032420"	"5' nucleotidase, ecto [Source:MGI Symbol;Acc:MGI:99782]"	"Nt5e"
"2031"	"ENSMUSG00000032423"	"synaptotagmin binding, cytoplasmic RNA interacting protein [Source:MGI Symbol;Acc:MGI:1891690]"	"Syncrip"
"2032"	"ENSMUSG00000032434"	"CKLF-like MARVEL transmembrane domain containing 6 [Source:MGI Symbol;Acc:MGI:2447165]"	"Cmtm6"
"2033"	"ENSMUSG00000032440"	"transforming growth factor, beta receptor II [Source:MGI Symbol;Acc:MGI:98729]"	"Tgfbr2"
"2034"	"ENSMUSG00000032454"	"retinol binding protein 2, cellular [Source:MGI Symbol;Acc:MGI:97877]"	"Rbp2"
"2035"	"ENSMUSG00000032458"	"coatomer protein complex, subunit beta 2 (beta prime) [Source:MGI Symbol;Acc:MGI:1354962]"	"Copb2"
"2036"	"ENSMUSG00000032477"	"cell division cycle 25A [Source:MGI Symbol;Acc:MGI:103198]"	"Cdc25a"
"2037"	"ENSMUSG00000032478"	"NME/NM23 nucleoside diphosphate kinase 6 [Source:MGI Symbol;Acc:MGI:1861676]"	"Nme6"
"2038"	"ENSMUSG00000032479"	"microtubule-associated protein 4 [Source:MGI Symbol;Acc:MGI:97178]"	"Map4"
"2039"	"ENSMUSG00000032481"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 [Source:MGI Symbol;Acc:MGI:1203524]"	"Smarcc1"
"2040"	"ENSMUSG00000032492"	"parathyroid hormone 1 receptor [Source:MGI Symbol;Acc:MGI:97801]"	"Pth1r"
"2041"	"ENSMUSG00000032498"	"mutL homolog 1 [Source:MGI Symbol;Acc:MGI:101938]"	"Mlh1"
"2042"	"ENSMUSG00000032501"	"tribbles pseudokinase 1 [Source:MGI Symbol;Acc:MGI:2443397]"	"Trib1"
"2043"	"ENSMUSG00000032508"	"myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]"	"Myd88"
"2044"	"ENSMUSG00000032515"	"cysteine-serine-rich nuclear protein 1 [Source:MGI Symbol;Acc:MGI:2387989]"	"Csrnp1"
"2045"	"ENSMUSG00000032519"	"solute carrier family 25, member 38 [Source:MGI Symbol;Acc:MGI:2384782]"	"Slc25a38"
"2046"	"ENSMUSG00000032525"	"natural killer tumor recognition sequence [Source:MGI Symbol;Acc:MGI:97346]"	"Nktr"
"2047"	"ENSMUSG00000032527"	"propionyl Coenzyme A carboxylase, beta polypeptide [Source:MGI Symbol;Acc:MGI:1914154]"	"Pccb"
"2048"	"ENSMUSG00000032540"	"abhydrolase domain containing 5 [Source:MGI Symbol;Acc:MGI:1914719]"	"Abhd5"
"2049"	"ENSMUSG00000032548"	"solute carrier organic anion transporter family, member 2a1 [Source:MGI Symbol;Acc:MGI:1346021]"	"Slco2a1"
"2050"	"ENSMUSG00000032554"	"transferrin [Source:MGI Symbol;Acc:MGI:98821]"	"Trf"
"2051"	"ENSMUSG00000032554"	"transferrin [Source:MGI Symbol;Acc:MGI:98821]"	"Tf"
"2052"	"ENSMUSG00000032555"	"topoisomerase (DNA) II binding protein 1 [Source:MGI Symbol;Acc:MGI:1920018]"	"Topbp1"
"2053"	"ENSMUSG00000032578"	"cytokine inducible SH2-containing protein [Source:MGI Symbol;Acc:MGI:103159]"	"Cish"
"2054"	"ENSMUSG00000032579"	"HemK methyltransferase family member 1 [Source:MGI Symbol;Acc:MGI:1916786]"	"Hemk1"
"2055"	"ENSMUSG00000032584"	"macrophage stimulating 1 receptor (c-met-related tyrosine kinase) [Source:MGI Symbol;Acc:MGI:99614]"	"Mst1r"
"2056"	"ENSMUSG00000032586"	"TRAF-interacting protein [Source:MGI Symbol;Acc:MGI:1096377]"	"Traip"
"2057"	"ENSMUSG00000032594"	"inositol hexaphosphate kinase 1 [Source:MGI Symbol;Acc:MGI:1351633]"	"Ip6k1"
"2058"	"ENSMUSG00000032596"	"ubiquitin-like modifier activating enzyme 7 [Source:MGI Symbol;Acc:MGI:1349462]"	"Uba7"
"2059"	"ENSMUSG00000032606"	"nicolin 1 [Source:MGI Symbol;Acc:MGI:1913507]"	"Nicn1"
"2060"	"ENSMUSG00000032607"	"aminomethyltransferase [Source:MGI Symbol;Acc:MGI:3646700]"	"Amt"
"2061"	"ENSMUSG00000032609"	"kelch domain containing 8B [Source:MGI Symbol;Acc:MGI:1925517]"	"Klhdc8b"
"2062"	"ENSMUSG00000032640"	"chondroitin sulfate synthase 1 [Source:MGI Symbol;Acc:MGI:2681120]"	"Chsy1"
"2063"	"ENSMUSG00000032652"	"cAMP responsive element binding protein-like 2 [Source:MGI Symbol;Acc:MGI:1889385]"	"Crebl2"
"2064"	"ENSMUSG00000032666"	"RIKEN cDNA 1700025G04 gene [Source:MGI Symbol;Acc:MGI:1916649]"	"1700025G04Rik"
"2065"	"ENSMUSG00000032727"	"MIER family member 3 [Source:MGI Symbol;Acc:MGI:2442317]"	"Mier3"
"2066"	"ENSMUSG00000032733"	"sorting nexin 33 [Source:MGI Symbol;Acc:MGI:2443239]"	"Snx33"
"2067"	"ENSMUSG00000032735"	"actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]"	"Ablim3"
"2068"	"ENSMUSG00000032743"	"katanin interacting protein [Source:MGI Symbol;Acc:MGI:2442760]"	"Katnip"
"2069"	"ENSMUSG00000032757"	"Bet1 golgi vesicular membrane trafficking protein [Source:MGI Symbol;Acc:MGI:1343104]"	"Bet1"
"2070"	"ENSMUSG00000032777"	"general transcription factor III C 1 [Source:MGI Symbol;Acc:MGI:107887]"	"Gtf3c1"
"2071"	"ENSMUSG00000032782"	"centrobin, centrosomal BRCA2 interacting protein [Source:MGI Symbol;Acc:MGI:2443290]"	"Cntrob"
"2072"	"ENSMUSG00000032783"	"trophinin associated protein [Source:MGI Symbol;Acc:MGI:1925983]"	"Troap"
"2073"	"ENSMUSG00000032788"	"pyridoxal (pyridoxine, vitamin B6) kinase [Source:MGI Symbol;Acc:MGI:1351869]"	"Pdxk"
"2074"	"ENSMUSG00000032802"	"sulfiredoxin 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104971]"	"Srxn1"
"2075"	"ENSMUSG00000032803"	"carnitine deficiency-associated gene expressed in ventricle 3 [Source:MGI Symbol;Acc:MGI:2448759]"	"Cdv3"
"2076"	"ENSMUSG00000032806"	"solute carrier family 10 (sodium/bile acid cotransporter family), member 3 [Source:MGI Symbol;Acc:MGI:95048]"	"Slc10a3"
"2077"	"ENSMUSG00000032807"	"arachidonate 12-lipoxygenase, 12R type [Source:MGI Symbol;Acc:MGI:1274782]"	"Alox12b"
"2078"	"ENSMUSG00000032816"	"immunoglobulin superfamily, DCC subclass, member 4 [Source:MGI Symbol;Acc:MGI:1858497]"	"Igdcc4"
"2079"	"ENSMUSG00000032826"	"ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]"	"Ank2"
"2080"	"ENSMUSG00000032834"	"PWP2 periodic tryptophan protein homolog (yeast) [Source:MGI Symbol;Acc:MGI:1341200]"	"Pwp2"
"2081"	"ENSMUSG00000032841"	"proline rich 5 like [Source:MGI Symbol;Acc:MGI:1919696]"	"Prr5l"
"2082"	"ENSMUSG00000032849"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4 [Source:MGI Symbol;Acc:MGI:2443111]"	"Abcc4"
"2083"	"ENSMUSG00000032855"	"polycystin 1, transient receptor potential channel interacting [Source:MGI Symbol;Acc:MGI:97603]"	"Pkd1"
"2084"	"ENSMUSG00000032867"	"F-box and WD-40 domain protein 8 [Source:MGI Symbol;Acc:MGI:1923041]"	"Fbxw8"
"2085"	"ENSMUSG00000032869"	"proteasome (prosome, macropain) inhibitor subunit 1 [Source:MGI Symbol;Acc:MGI:1346072]"	"Psmf1"
"2086"	"ENSMUSG00000032939"	"nucleoporin 93 [Source:MGI Symbol;Acc:MGI:1919055]"	"Nup93"
"2087"	"ENSMUSG00000032959"	"phosphatidylethanolamine binding protein 1 [Source:MGI Symbol;Acc:MGI:1344408]"	"Pebp1"
"2088"	"ENSMUSG00000032966"	"FK506 binding protein 1a [Source:MGI Symbol;Acc:MGI:95541]"	"Fkbp1a"
"2089"	"ENSMUSG00000033020"	"polymerase (RNA) II (DNA directed) polypeptide F [Source:MGI Symbol;Acc:MGI:1349393]"	"Polr2f"
"2090"	"ENSMUSG00000033022"	"cysteine dioxygenase 1, cytosolic [Source:MGI Symbol;Acc:MGI:105925]"	"Cdo1"
"2091"	"ENSMUSG00000033031"	"cell proliferation regulating inhibitor of protein phosphatase 2A [Source:MGI Symbol;Acc:MGI:2146335]"	"Cip2a"
"2092"	"ENSMUSG00000033047"	"eukaryotic translation initiation factor 3, subunit L [Source:MGI Symbol;Acc:MGI:2386251]"	"Eif3l"
"2093"	"ENSMUSG00000033059"	"brain glycogen phosphorylase [Source:MGI Symbol;Acc:MGI:97828]"	"Pygb"
"2094"	"ENSMUSG00000033060"	"LIM domain only 7 [Source:MGI Symbol;Acc:MGI:1353586]"	"Lmo7"
"2095"	"ENSMUSG00000033065"	"phosphofructokinase, muscle [Source:MGI Symbol;Acc:MGI:97548]"	"Pfkm"
"2096"	"ENSMUSG00000033066"	"growth arrest specific 7 [Source:MGI Symbol;Acc:MGI:1202388]"	"Gas7"
"2097"	"ENSMUSG00000033102"	"CDC14 cell division cycle 14B [Source:MGI Symbol;Acc:MGI:2441808]"	"Cdc14b"
"2098"	"ENSMUSG00000033105"	"lanosterol synthase [Source:MGI Symbol;Acc:MGI:1336155]"	"Lss"
"2099"	"ENSMUSG00000033114"	"solute carrier family 35, member D2 [Source:MGI Symbol;Acc:MGI:1917734]"	"Slc35d2"
"2100"	"ENSMUSG00000033157"	"abhydrolase domain containing 10 [Source:MGI Symbol;Acc:MGI:2442422]"	"Abhd10"
"2101"	"ENSMUSG00000033159"	"cyclin Pas1/PHO80 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916421]"	"Cnppd1"
"2102"	"ENSMUSG00000033166"	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:MGI Symbol;Acc:MGI:1919912]"	"Dis3"
"2103"	"ENSMUSG00000033174"	"monoglyceride lipase [Source:MGI Symbol;Acc:MGI:1346042]"	"Mgll"
"2104"	"ENSMUSG00000033186"	"mitotic spindle organizing protein 1 [Source:MGI Symbol;Acc:MGI:1924039]"	"Mzt1"
"2105"	"ENSMUSG00000033192"	"lysophosphatidylcholine acyltransferase 2 [Source:MGI Symbol;Acc:MGI:3606214]"	"Lpcat2"
"2106"	"ENSMUSG00000033222"	"transcription termination factor, RNA polymerase II [Source:MGI Symbol;Acc:MGI:1921294]"	"Ttf2"
"2107"	"ENSMUSG00000033327"	"tenascin XB [Source:MGI Symbol;Acc:MGI:1932137]"	"Tnxb"
"2108"	"ENSMUSG00000033335"	"dynamin 2 [Source:MGI Symbol;Acc:MGI:109547]"	"Dnm2"
"2109"	"ENSMUSG00000033355"	"receptor transporter protein 4 [Source:MGI Symbol;Acc:MGI:1915025]"	"Rtp4"
"2110"	"ENSMUSG00000033364"	"ubiquitin specific peptidase 37 [Source:MGI Symbol;Acc:MGI:2442483]"	"Usp37"
"2111"	"ENSMUSG00000033389"	"Rho GTPase activating protein 44 [Source:MGI Symbol;Acc:MGI:2144423]"	"Arhgap44"
"2112"	"ENSMUSG00000033411"	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 [Source:MGI Symbol;Acc:MGI:1196405]"	"Ctdspl2"
"2113"	"ENSMUSG00000033436"	"armadillo repeat containing, X-linked 2 [Source:MGI Symbol;Acc:MGI:1914666]"	"Armcx2"
"2114"	"ENSMUSG00000033467"	"cytokine receptor-like factor 2 [Source:MGI Symbol;Acc:MGI:1889506]"	"Crlf2"
"2115"	"ENSMUSG00000033488"	"crystallin zeta like 2 [Source:MGI Symbol;Acc:MGI:2448516]"	"Cryzl2"
"2116"	"ENSMUSG00000033499"	"La ribonucleoprotein 4B [Source:MGI Symbol;Acc:MGI:106330]"	"Larp4b"
"2117"	"ENSMUSG00000033502"	"CDC14 cell division cycle 14A [Source:MGI Symbol;Acc:MGI:2442676]"	"Cdc14a"
"2118"	"ENSMUSG00000033526"	"diphosphoinositol pentakisphosphate kinase 1 [Source:MGI Symbol;Acc:MGI:2443281]"	"Ppip5k1"
